rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
3055.9000005722046,,shortestpath_phase,1042061,,GW/jukebox.jpg,,,,50,GW/soldier.jpg,GW/teeth.jpg,1,0.8333333333333334,,,,GW/teeth.jpg,,,,Two Edge Diff,Two Edge Four Edge,,,,,
null,,html-keyboard-response,1043066,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3224.2999992370605,,shortestpath_phase,1046293,,GW/hat.jpg,,,,49,GW/barrel.jpg,GW/globe.jpg,1,0.8571428571428571,,,,GW/barrel.jpg,,,,One Edge Diff,Four Edge Five Edge,,,,,
null,,html-keyboard-response,1047296,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
null,,shortestpath_phase,1054800,,GW/basket.jpg,,,,null,GW/dustpan.jpg,GW/snail.jpg,0,0.75,,,,GW/snail.jpg,,,,One Edge Diff,Three Edge Four Edge,,,,,
null,,html-keyboard-response,1055818,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
5352.5,,shortestpath_phase,1061172,,GW/gong.jpg,,,,50,GW/jukebox.jpg,GW/paint.jpg,1,0.7777777777777778,,,,GW/paint.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1062188,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
2211.300000190735,,shortestpath_phase,1064401,,GW/jukebox.jpg,,,,50,GW/soldier.jpg,GW/barrel.jpg,1,0.8,,,,GW/barrel.jpg,,,,Two Edge Diff,Two Edge Four Edge,,,,,
null,,html-keyboard-response,1065410,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
2672.5999994277954,,shortestpath_phase,1068085,,GW/paint.jpg,,,,50,GW/globe.jpg,GW/hat.jpg,0,0.7272727272727273,,,,GW/globe.jpg,,,,One Edge Diff,Two Edge Three Edge,,,,,
null,,html-keyboard-response,1069091,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
6164.400000572205,,shortestpath_phase,1075257,,GW/gong.jpg,,,,49,GW/teeth.jpg,GW/globe.jpg,1,0.75,,,,GW/teeth.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1076263,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3388.2000007629395,,shortestpath_phase,1079653,,GW/dustpan.jpg,,,,50,GW/globe.jpg,GW/barrel.jpg,1,0.7692307692307693,,,,GW/barrel.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1080670,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3703,,shortestpath_phase,1084375,,GW/jukebox.jpg,,,,50,GW/gong.jpg,GW/teeth.jpg,1,0.7857142857142857,,,,GW/teeth.jpg,,,,Two Edge Diff,Four Edge Six Edge,,,,,
null,,html-keyboard-response,1085382,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
null,,shortestpath_phase,1092893,,GW/wheelchair.jpg,,,,null,GW/basket.jpg,GW/jukebox.jpg,0,0.7333333333333333,,,,GW/basket.jpg,,,,One Edge Diff,Two Edge Three Edge,,,,,
null,,html-keyboard-response,1093912,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3617.699999809265,,shortestpath_phase,1097531,,GW/dustpan.jpg,,,,49,GW/jukebox.jpg,GW/globe.jpg,1,0.75,,,,GW/jukebox.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1098538,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
5629.800000190735,,shortestpath_phase,1104169,,GW/gong.jpg,,,,50,GW/basket.jpg,GW/hat.jpg,1,0.7647058823529411,,,,GW/hat.jpg,,,,Two Edge Diff,Two Edge Four Edge,,,,,
null,,html-keyboard-response,1105176,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3706.2000007629395,,shortestpath_phase,1108885,,GW/dustpan.jpg,,,,49,GW/snail.jpg,GW/basket.jpg,1,0.7777777777777778,,,,GW/snail.jpg,,,,One Edge Diff,Three Edge Four Edge,,,,,
null,,html-keyboard-response,1109898,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
5125.199999809265,,shortestpath_phase,1115025,,GW/hat.jpg,,,,49,GW/basket.jpg,GW/globe.jpg,1,0.7894736842105263,,,,GW/basket.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1116044,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4030.1000003814697,,shortestpath_phase,1120076,,GW/barrel.jpg,,,,49,GW/snail.jpg,GW/gong.jpg,1,0.8,,,,GW/snail.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1121087,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
6742,,shortestpath_phase,1127830,,GW/hat.jpg,,,,50,GW/globe.jpg,GW/camera.jpg,1,0.8095238095238095,,,,GW/camera.jpg,,,,Two Edge Diff,Two Edge Four Edge,,,,,
null,,html-keyboard-response,1128842,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4781.799999237061,,shortestpath_phase,1133626,,GW/dustpan.jpg,,,,49,GW/teeth.jpg,GW/barrel.jpg,1,0.8181818181818182,,,,GW/teeth.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1134632,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
6803.60000038147,,shortestpath_phase,1141437,,GW/jukebox.jpg,,,,49,GW/snail.jpg,GW/gong.jpg,1,0.8260869565217391,,,,GW/snail.jpg,,,,One Edge Diff,Five Edge Six Edge,,,,,
null,,html-keyboard-response,1142445,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
6595.5,,shortestpath_phase,1149042,,GW/paint.jpg,,,,50,GW/soldier.jpg,GW/dustpan.jpg,0,0.7916666666666666,,,,GW/soldier.jpg,,,,One Edge Diff,Three Edge Four Edge,,,,,
