rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,color_black,293991,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),296995,,black_plus_sign,,,,null,GW/gatlinburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),297876,,yellow,,,,null,GW/gatlinburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,298379,,yellow,,,,null,GW/gatlinburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
1356.7000000001863,,rt_thecrossant_black,299506,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,299609,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),302613,,black_plus_sign,,,,null,GW/boulder.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),303716,,blue,,,,null,GW/boulder.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,304219,,blue,,,,null,GW/boulder.png,GW/carmel.png,,,,,,,,,,,,,,,,,
1302.7999999998137,,rt_thecrossant_black,305122,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,305226,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),308230,,black_plus_sign,,,,null,GW/hotsprings.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),308930,,blue,,,,null,GW/hotsprings.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,309433,,blue,,,,null,GW/hotsprings.png,GW/peoria.png,,,,,,,,,,,,,,,,,
1448.2000000001863,,rt_thecrossant_black,310740,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,310843,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
